의안번호	키워드	날짜	뉴스건수
2210293	디자인보호법	2025-06-19	5
2210293	디자인보호법	2025-06-20	4
2210293	디자인보호법	2025-06-21	5
2210293	디자인보호법	2025-06-22	6
2210293	디자인보호법	2025-06-23	7
2210293	디자인보호법	2025-06-24	8
2210293	디자인보호법	2025-06-25	7
2210293	디자인보호법	2025-06-26	7
2210330	기획재정부장관	2025-05-25	0
2210330	기획재정부장관	2025-05-26	0
2210330	기획재정부장관	2025-05-27	1
2210330	기획재정부장관	2025-05-28	0
2210330	기획재정부장관	2025-05-29	0
2210330	기획재정부장관	2025-05-30	0
2210330	기획재정부장관	2025-05-31	1
2210330	기획재정부장관	2025-06-01	1
2210330	기획재정부장관	2025-06-02	1
2210330	기획재정부장관	2025-06-03	1
2210330	기획재정부장관	2025-06-04	1
2210330	기획재정부장관	2025-06-05	2
2210330	기획재정부장관	2025-06-06	3
2210330	기획재정부장관	2025-06-07	2
2210330	기획재정부장관	2025-06-08	3
2210330	기획재정부장관	2025-06-09	2
2210330	기획재정부장관	2025-06-10	2
2210330	기획재정부장관	2025-06-11	1
2210330	기획재정부장관	2025-06-12	3
2210330	기획재정부장관	2025-06-13	3
2210330	기획재정부장관	2025-06-14	3
2210330	기획재정부장관	2025-06-15	3
2210330	기획재정부장관	2025-06-16	4
2210330	기획재정부장관	2025-06-17	4
2210330	기획재정부장관	2025-06-18	4
2210330	기획재정부장관	2025-06-19	5
2210330	기획재정부장관	2025-06-20	5
2210330	기획재정부장관	2025-06-21	5
2210330	기획재정부장관	2025-06-22	5
2210330	기획재정부장관	2025-06-23	7
2210330	기획재정부장관	2025-06-24	7
2210330	기획재정부장관	2025-06-25	7
2210330	기획재정부장관	2025-06-26	7
